,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,MSL,BEP
,BPCL EQ,2014-01-01,2024-12-31,1.0,1.0,5.0,no
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
51,2 Week High-Low,2015-12-09,2015-03-13,Sell,888.82,739.68,149.14,-242.61,Short,727.05,18.2
52,2 Week High-Low,2015-03-13,2016-01-15,Sell,739.68,929.0,-189.32,-431.93,MSL,727.05,1.71
53,2 Week High-Low,2016-01-15,2016-01-19,Buy,929.0,776.66,-152.34,-584.27,MSL,939.25,1.1
54,2 Week High-Low,2015-03-20,2016-01-19,Sell,725.97,762.27,-36.3,-620.5699999999999,MSL,inf,inf
55,2 Week High-Low,2016-02-02,2015-04-08,Sell,852.39,826.18,26.21,-594.3599999999999,SAR,731.15,14.22
56,2 Week High-Low,2015-04-08,2015-04-24,Buy,826.18,784.87,-41.31,-635.6699999999998,MSL,835.0,1.07
57,2 Week High-Low,2016-03-01,2016-05-05,Buy,795.88,933.87,137.99,-497.67999999999984,SAR,994.75,24.99
58,2 Week High-Low,2015-04-24,2015-05-25,Sell,783.59,804.21,-20.62,-518.2999999999998,SAR,720.35,8.07
59,2 Week High-Low,2015-05-25,2015-06-16,Buy,804.21,821.95,17.74,-500.55999999999983,SAR,876.35,8.97
60,2 Week High-Low,2015-06-16,2016-05-05,Sell,821.95,933.87,-111.92,-612.4799999999998,Short,803.0,2.31
61,2 Week High-Low,2016-05-05,2015-06-23,Sell,933.87,859.71,74.16,-538.3199999999998,SAR,803.0,14.01
62,2 Week High-Low,2015-06-23,2015-07-31,Buy,859.71,928.22,68.51,-469.80999999999983,SAR,1024.7,19.19
63,2 Week High-Low,2016-05-27,2016-07-13,Buy,967.68,559.9,-407.78,-877.5899999999998,SAR,1156.0,19.46
64,2 Week High-Low,2015-07-31,2016-08-08,Sell,928.22,609.53,318.69,-558.8999999999999,MSL,546.25,41.15
65,2 Week High-Low,2016-08-08,2016-08-10,Buy,609.53,974.64,365.11,-193.78999999999985,MSL,617.7,1.34
66,2 Week High-Low,2015-08-24,2016-08-23,Sell,849.22,572.42,276.8,83.01000000000016,MSL,802.9,5.45
67,2 Week High-Low,2016-08-23,2016-08-26,Sell,572.42,601.04,-28.62,54.39000000000016,MSL,575.05,0.46
68,2 Week High-Low,2015-09-29,2015-10-15,Sell,845.56,892.84,-47.28,7.110000000000156,SAR,563.1,33.41
69,2 Week High-Low,2015-10-15,2015-10-29,Buy,892.84,887.04,-5.8,1.310000000000156,SAR,925.6,3.67
70,2 Week High-Low,2016-09-23,2016-11-02,Buy,606.5,658.5,52.0,53.31000000000016,SAR,687.95,13.43
71,2 Week High-Low,2015-10-29,2015-11-20,Sell,887.04,921.52,-34.48,18.83000000000016,SAR,861.55,2.87
72,2 Week High-Low,2015-11-20,2015-12-09,Buy,921.52,670.0,-251.52,-232.68999999999986,MSL,946.9,2.75
73,2 Week High-Low,2015-12-09,2016-01-15,Sell,888.82,929.0,-40.18,-272.86999999999983,SAR,598.15,32.7
74,2 Week High-Low,2016-01-15,2016-01-19,Buy,929.0,882.55,-46.45,-319.3199999999998,MSL,939.25,1.1
75,2 Week High-Low,2016-12-29,2017-02-14,Buy,629.23,692.01,62.78,-256.53999999999985,SAR,733.0,16.49
76,2 Week High-Low,2016-02-02,2016-03-01,Sell,852.39,795.88,56.51,-200.02999999999986,SAR,731.15,14.22
77,2 Week High-Low,2016-03-01,2016-05-05,Buy,795.88,933.87,137.99,-62.03999999999985,SAR,994.75,24.99
78,2 Week High-Low,2017-02-14,2016-05-05,Sell,692.01,933.87,-241.86,-303.89999999999986,Short,615.25,11.09
79,2 Week High-Low,2016-05-05,2016-05-27,Sell,933.87,967.68,-33.81,-337.70999999999987,SAR,615.25,34.12
